created_at,text,favorites,retweets,in_reply_to
2019-11-14 11:12:23,RT @Juks_Afrika: Stop dating psychos😳😂✋ https://t.co/aDkcgFhPBv,0,93,
2019-11-13 14:18:44,@ThulaniDeAfrika 🤣🤣😂😂,0,0,ThulaniDeAfrika
2019-11-13 12:57:36,@DanielMavinne @mahlantd,24,0,blessiva_
2019-11-11 21:35:59,RT @_AIMO_: Retweet if you still have Under 30K followers let's see if we can gain a bit by following each other in the next hour 🌚🌚 https:…,0,313,
2019-11-10 02:48:00,Its raining in Middelburg..... indeed Modimo O phala baloyi... https://t.co/iWnjcLlxWf,1,0,
2019-11-09 17:45:48,@bonang_m @KaizerChiefs Amakhosi ajabulile✌✌✌,1,0,bonang_m
2019-11-08 18:56:17,@Mdudemeister1 😆😆,0,0,Mdudemeister1
2019-11-08 16:01:30,RT @SizweBebe: I Feel Like We being Disrespected here. 😢😂🤣🤣🤣 https://t.co/Mcw21i8GwO,0,148,
2019-11-08 15:40:14,@madona_macdee @casspernyovest It's even heartbreaking,0,0,madona_macdee
2019-11-08 15:39:34,RT @sphesihleshandu: @casspernyovest @Nokukhanya_p_11 Absolutely amazing!!! https://t.co/So4jxo3fk6,0,6,
2019-11-08 15:38:14,"RT @ZandileThys1734: @casspernyovest They made me cry, Esp the Lead 😭😭😭😭😭😭😭😭 https://t.co/RjODFcqOyu",0,45,
2019-11-08 15:37:46,RT @casspernyovest: ❤ wow! What a talent! What a voice!!! https://t.co/t417vgKMxx,0,1000,
2019-11-08 15:08:37,What's up with weather SA....I thought it was gonna rain today.,1,0,
2019-11-08 14:37:15,@NetshauluNdivho Thanks,0,0,NetshauluNdivho
2019-11-08 14:14:58,@sa_lottery Siyathokoza https://t.co/WtXWYQ8FFf,2,0,sa_lottery
2019-11-08 06:41:35,@NetshauluNdivho movie or series?,0,0,NetshauluNdivho
2019-11-06 19:36:49,I see Kaizer Chiefs still benefiting from referees..... Amakhosi!!!,1,0,
2019-11-06 16:47:21,@Baroka_FC @Masandawana Win please,0,0,Baroka_FC
2019-11-06 16:47:06,"RT @Baroka_FC: @Baroka_FC
🚨Match Day🚨
Line-up for today's action 
@Baroka_FC 🆚️ @Masandawana
🗓 Today, 06/11/2019 
🏟 New Peter Mokaba stadiu…",0,6,
2019-11-06 16:15:15,@Soccer_Laduma respect....,6,0,Soccer_Laduma
2019-11-06 06:06:03,@Thina_Njemla @AmandaBlackSA 😂😂😂🤣🤣,1,0,Thina_Njemla
2019-11-06 06:05:15,RT @Thina_Njemla: Even Anthony Andile Hamilton ngumxhosa umzala ka @AmandaBlackSA https://t.co/deTSqlQYf5,0,1,
2019-11-05 16:14:24,@_DJCappuccino May your R70 multiply exponentially...,2,0,_DJCappuccino
2019-11-05 16:13:19,@bozzie_t May your R70 multiply exponentially...,1,0,bozzie_t
2019-11-05 13:15:44,RT @allangaxa: @Sentletse @Julius_S_Malema https://t.co/igME7u2B2o,0,1,
2019-11-04 20:44:48,RT @MotsoMatsu: For those who requested: The poem I read on air. I wish I could credit the writer but I’ve no idea where I got it from so I…,0,66,
2019-11-04 14:57:44,RT @itschiddy: Whenever black coffee is playing https://t.co/o2BKJTje2I,0,85,
2019-11-04 07:02:36,@Lotto_Star I played......,1,0,Lotto_Star
2019-11-02 19:21:09,RT @SiyaMtitshana: Xhosa commentary at its best😩🤣🤣🤣🤣 Goodnight Tweeps https://t.co/LylLpbFU0K,0,405,
2019-11-02 19:04:14,"RT @TomHall: Typical Friday night on the 

3rd Street Promenade 

in Santa Monica.

🌈

#SaturdayThoughts #Wow #SaturdayMotivation 

https:/…",0,454,
2019-11-02 17:35:01,RT @nonhlanhla_Nox: Aningithengeleni into edliwayo noma ngabe iPirates ilungile #Amakhosi4Life https://t.co/GZyW5WkY1r,0,168,
2019-10-31 15:10:11,@roxxy_amanda @AdvBarryRoux Who is this guy mara vale?,0,0,roxxy_amanda
2019-10-29 15:17:20,RT @Ntshieng_: My income vs my debts and responsibilities 😭😭😭 https://t.co/hwo3u2XnUC,0,543,
2019-10-28 16:58:34,"@Mmadikgosi_23 Okay... siyavuma, but what about VBS money?",3,0,Mmadikgosi_23
2019-10-28 13:42:00,RT @VelempiniN: This is the best thing i have seen on the internet  today. #africans https://t.co/jCUjoHiOzp,0,5898,
