created_at,text,favorites,retweets,in_reply_to
2017-03-05 17:57:02,@Bet49s i give up eish,1,1,Bet49s
2017-03-05 17:18:14,@Bet49s come on!!!! https://t.co/VONT8fLNli,0,0,Bet49s
2017-03-05 17:17:26,@marie69jones @Bet49s come on!!!!!! https://t.co/71CGCbh2pi,0,0,marie69jones
2017-03-04 17:59:10,@marie69jones @Bet49s thanks,0,0,marie69jones
2017-03-03 18:47:47,https://t.co/BNwVoFdOc5,0,0,
2017-03-03 18:44:30,Just posted a photo https://t.co/pGgvPLWRc6,0,0,
2017-03-03 18:37:24,@marie69jones @Bet49s prediction for tomorrow lunchtime please. Being playing 37bonus till now no luck please help:-D,0,0,marie69jones
2017-02-20 03:01:51,Just posted a photo https://t.co/9jcAV3S3L2,0,0,
2017-02-18 18:58:17,Real..... https://t.co/Q96STFes8g,0,0,
2017-02-07 16:53:02,@KaizerChiefs Where is George  Lebese?,1,0,KaizerChiefs
2017-02-07 16:46:49,@KaizerChiefs Where is George Lebese?,0,0,KaizerChiefs
2017-01-31 18:51:10,Just posted a photo https://t.co/Opi80UUlpJ,0,0,
2017-01-30 21:07:49,@Bet49s eish!!! https://t.co/4Scstq2LSj,3,0,Bet49s
2017-01-30 21:07:25,@Bet49s eish!!!! https://t.co/PE13BQqFKJ,0,0,Bet49s
2017-01-27 17:45:13,RT @DJFreshSA: 😭😭😭😭 https://t.co/mHhm59N4tv,0,177,
2017-01-25 12:02:27,@Bet49s 46-(47),0,0,Bet49s
2017-01-19 19:09:39,"RT @FloydMayweather: Before you ask for $25M, be worth more than $25M. You have the ""2"" and the ""5"" right but you meant to say $2.5M not $2…",0,48767,
2016-12-23 18:43:48,Just posted a photo https://t.co/DdswudpsSI,0,0,
2016-11-22 18:56:48,Just posted a photo https://t.co/zFRGvKMwUC,0,0,
2016-11-22 18:56:06,Just posted a photo https://t.co/fJjwLrfbcy,0,0,
2016-07-08 21:57:45,Believe!!!!!!!,1,0,
2016-05-26 03:53:42,@MTNza block 3,0,0,MTNza
2016-05-11 16:50:34,@Bet49s waiting for 1-31B30,0,0,Bet49s
2016-05-10 12:15:52,Eish https://t.co/5xxkcWA41Q,0,0,
2016-05-03 16:45:58,@Bet49s Waiting for 30-31,0,0,Bet49s
2016-04-22 06:19:01,https://t.co/UwgFi5dzqA,0,0,
