created_at,text,favorites,retweets,in_reply_to
2019-12-09 04:29:32,Proud moment.. Halala Mzantsi! 🇿🇦@zozitunzi https://t.co/SRqSAsUi5N,0,0,
2019-12-05 11:41:37,"RT @tumisole: #RIPNeyiZimu

#NeyiZumi

Rest In Perfect Peace Neyi Zimu

You touched and healed many with words and song. 

Ka nnete, Jehova…",0,1046,
2019-11-29 10:58:58,RT @UnathiKondile: Aah Zwelonke! https://t.co/c2vHRC16Gu,0,8,
2019-11-21 16:00:15,@ItsYangaChief Nice work deYanga... ziyabetha k’ezam! Salute!,0,0,ItsYangaChief
2019-11-10 14:35:30,@Marcia___M 🤣🤣🤣,0,0,Marcia___M
2019-11-08 10:49:46,Too sweet @ShoMadjozi https://t.co/zd5Pf2zTvZ,0,0,
2019-11-02 11:03:32,@Springboks WELL DONE!!!🙌🏾🇿🇦,0,0,Springboks
2019-11-02 11:02:47,"RT @Pal3sa1: Been screwing England since 2007. 💪🔥🔥
#Springboks
#RWCFinal https://t.co/1cVMdhZlDo",0,27,
2019-11-02 11:00:19,"RT @manghumani: 🔥WARRIOR 🔥

#RWCFinal Makazolo Mapimpi, A national treasure.

Well done Bokke #Springboks 🔥🇿🇦 https://t.co/EWZGm12tnR",0,136,
2019-11-02 11:00:01,THANK YOU 🙌🏾SIYA &amp; THE ENTIRE BOKS TEAM!!!🇿🇦 https://t.co/belJlhvuf1,1,0,
2019-11-01 13:14:25,Ewe maan!! https://t.co/5ign4L42c8,0,0,
2019-11-01 11:01:36,It on!! https://t.co/RPMK5Xzcxq,0,0,
2019-11-01 05:58:04,💔 https://t.co/vwCIg9tNCG,0,0,
2019-10-27 19:30:07,RT @NandosSA: .@Springboks #RWC2019 🇿🇦🏉🏆 https://t.co/JC4WB6teNa,0,1206,
2019-10-20 12:27:50,@Springboks  WELL DONE BOKKE!! 🇿🇦,0,0,Springboks
2019-10-20 12:09:57,RT @MbalulaFikile: LITTY 🔥🔥 https://t.co/XyP3gDW2X6,0,220,
2019-10-01 09:01:29,He’ll suit you up....Clean 👌🏾 https://t.co/88jkDLlAVA,0,1,
2019-09-28 11:13:29,@ja6u1ani Tyhini!!! How could you not like Goku.. Dragon Ball Z was the best! https://t.co/WlZYuFlmk9,0,0,ja6u1ani
2019-09-25 15:39:46,"RT @JoyOfJazz: It's finally here! The festival we have all been waiting for kicks off with opening night tomorrow!
Remember!
to get your 🎟…",0,11,
2019-09-23 07:23:30,@BonitaMapukata Phesheya kweNciba!!! 👌🏾,0,0,BonitaMapukata
2019-09-08 15:00:51,Enjoying the melodic sounds of @Ayanda_Jiya .Thank you for putting your gift to work! https://t.co/AHMzgviIAv,2,0,
2019-09-07 15:10:56,RT @KunjaloD: Mbeki on “Nigerian Criminals ...” https://t.co/HZb6B7ci2I,0,1638,
2019-09-05 17:23:53,Thank you for speaking Mr President &amp; outlining measures the state will take against the perpetrators of violence against women#Ramaphosa,0,0,
2019-09-03 11:07:12,True! https://t.co/IZWZ2OIEC7,3,3,
2019-09-02 20:08:45,South African Parliament : Parliament needs to declare Gender Based Violence in South Africa a State of Emergency -… https://t.co/K8hpTTvSQB,1,0,
2019-08-09 17:03:02,"RT @KelloMahlathi: Congratulations Zozibini!!❤️❤️You deserve it !!
Our new Miss South Africa👑 #MissSA2019 https://t.co/COTnJCm7Ji",0,27,
2019-08-09 16:48:24,RT @khayadlanga: Like 90% says Zozibini https://t.co/kmX56FKskH,0,21,
2019-07-08 10:42:07,@Unathi_Africa  OH WOW! I am truly enjoying your work on this song with @therealmambazo ..👏🏾 https://t.co/nT5JiQ5OlL,0,0,Unathi_Africa
2019-07-06 21:34:07,👌🏾 https://t.co/zhqA93qW2L,2,2,
2019-07-06 21:28:37,@BafanaBafana  CONGRATULATION ! You played your heats out with such commitment ... you have done the country proud! 🙌🏾🙌🏾🙌🏾,0,0,BafanaBafana
2019-06-25 16:27:24,@sterkinekor Yes,0,0,sterkinekor
2019-06-25 13:22:09,@MbalulaFikile Your position &amp; statement about  the board is strongly supported... Minister https://t.co/d97IIRVIc6,0,0,MbalulaFikile
2019-06-20 17:41:07,@baatsebaS Luv the 🕶... 😉,0,0,baatsebaS
2019-06-19 07:06:54,I agree.. https://t.co/1SpxWMmgZJ,0,0,
2019-06-18 15:26:54,RT @MathandaNcube: Happy 77th birthday President Thabo Mbeki! https://t.co/S40nEEuU5c,0,195,
2019-06-15 10:32:20,@ThapeloMokoena Proud of your work and a fan ..👊🏾,1,0,ThapeloMokoena
2019-05-29 20:23:51,@MbalulaFikile Good to have you   back to serve SA... 1st order of business Minister... PRASA BOARD OVERHAUL!!!!,0,0,MbalulaFikile
2019-05-29 11:59:08,@Mandz_NM @Newzroom405 Proud of you.. salute🇿🇦,1,0,Mandz_NM
2019-05-25 14:47:08,Happy Africa Day #AfricaIsMore https://t.co/qqeMCUBdLh,5,1,
2019-05-24 15:50:41,"@BongiweMsomi2 We support you &amp; the team, Captain oh Captain👏🏾",1,0,BongiweMsomi2
2019-05-23 11:04:55,RT @KhuselaS: Kwasuka lokho #NewDawn https://t.co/CdMV6mfmUN,0,76,
2019-05-22 18:37:44,@Thembin81115505 @ChristoThurston Wuw🤣,0,0,Thembin81115505
2019-05-13 10:19:36,Looking for a telecom card with just 50c ...ndifun’ukutokola.. 🤣📞🤣📞 https://t.co/7CwU3zKOCX,2,0,
2019-05-11 10:23:34,@Lazola_Ndamase @MzwaneleManyi Nam I need to know... https://t.co/kd5ohE730l,1,0,Lazola_Ndamase
2019-05-11 09:58:31,😂😂😂 https://t.co/W84FMreOYU,0,0,
2019-05-08 17:49:55,"Made our mark (X) &amp; got marked... here’s to a new dawn, new day, new season.. https://t.co/KFSO7DCjal",5,0,
2019-05-07 04:32:53,@MorningLiveSABC  nice touch on the behind the scenes tour at the ROC👍🏾,0,0,MorningLiveSABC
2019-05-02 07:32:29,RT @GP_DHS: Gauteng MEC for @GDCoGTA and @GP_DHS @UhuruUm will this morning launch and handover 1 000 houses at the Afri-Village Mega City…,0,3,
2019-04-27 10:52:41,@MazaleniNasiphi Like the Std Bank ad goes “SIYAKUBONGELA MNTANAMI” 👏🏾,2,0,MazaleniNasiphi
2019-04-27 09:27:24,RT @GP_DHS: Happy #FreedomDay  This year we are celebrating Freedom Day under the theme “Celebrating 25 years of democracy” #Democracy25 #M…,0,1,
2019-04-26 07:00:35,RT @FootyHumour: 3 professional football players versus 100 kids. This is class 👌🤣 https://t.co/gr2XcQ0U8a,0,18717,
2019-04-12 06:58:37,@Mabheranaa @Marcia___M Settled!!!,0,0,Mabheranaa
2019-04-12 06:54:22,"RT @JoyOfJazz: Tickets for #SBJOJ22 now Open. Secure yours today @Computicket
https://t.co/oA91srU3eG https://t.co/DMDroWDcyg",0,11,
2019-04-06 15:07:32,RT @JoyOfJazz: #SaveTheDate for the 22nd Standard Bank #JoyofJazz taking place from the the 26th to 28th of September 2019. Proudly produce…,0,8,
2019-03-22 09:24:10,👌🏾👌🏾 https://t.co/aBb3OlFAtV,0,0,
2019-03-18 19:35:47,This 👇🏾 goes well with or without load shedding... https://t.co/NXDJbs6Xuw,1,0,
2019-02-25 19:07:05,"@Anele  oh wow!!! Great work at the Oscars... u truly have character, charm &amp; charisma!!! Nicely done👌🏾",0,0,Anele
2019-02-22 19:13:40,"@liveamp  pls help, what’s the name of the track that played (in the background) after the mega mix? Great show by the way!",0,0,liveamp
2019-02-07 14:51:21,My type 👇🏾😍😘💍 https://t.co/mkePSb9KvH,4,0,
2019-02-07 14:45:10,@thanda_nkosi 👌🏾👌🏾👌🏾,1,0,thanda_nkosi
2019-02-07 13:43:54,"@kirkfranklin enjoying this right here👇🏾... Great work, thank u🙏🏾 https://t.co/1jLaRpDhAJ",0,0,kirkfranklin
2019-01-31 14:24:05,@sherwiebp My thought exactly @sherwiebp 🤣,0,0,sherwiebp
2019-01-31 14:04:17,"@Vodacom, Pay @Makate what is REASONABLE &amp; FAIR!!! #PleasecallMeMovement",2,0,Vodacom
2019-01-29 08:30:44,RT @GP_DHS: The (@The_DHS) Department of Human Settlements. Changing People's Lives #DHSProjects #GautengAtWork https://t.co/7xhfnK9OcM,0,1,
2019-01-24 09:21:19,"RT @GP_DHS: #Xse, the final #RegWeekend for the #SAElections2019 is on 26 and 27 January. Check if you're registered to vote at https://t.c…",0,1,
2019-01-12 13:39:31,"@MbalulaFikile Oh! Ngxe! for the previous tweet, clearly my account was “hacked”🤣.. I suspect the little person in… https://t.co/3nyohlBiGC",2,0,GadusheKondlo
2019-01-12 13:11:31,"@MbalulaFikile 🤢🤮,I,kmjmhnhbgnbybhngnhbgnhgbgnhbhbg hbgbgh.        Byhyhynynunhnhnhn.      Nhbhnihnhnh.         No h h h h h h h",0,0,MbalulaFikile
2018-12-28 12:40:39,Seaside views#LetsGoSomewhere https://t.co/RaqCpiDb1w,1,0,
2018-12-22 04:55:53,"@Caltexsa ..make a stop @Caltex✅, ⛽️full tank ✅ ready for the road trip #LetsGoSomewhere https://t.co/hYWVD5qKb2",0,0,Caltexsa
2018-12-20 15:13:03,@Paula_White Sincere condolences to you for your loss . My the good lord comfort your heart.  May you find comfort… https://t.co/Q1OFQ1taKK,0,0,Paula_White
2018-12-19 17:46:42,@Caltexsa  #letsgosomewhere https://t.co/1Sx3HGQ4CO,0,0,Caltexsa
2018-12-15 17:17:11,And ... “pire.. pire” from the MJ song.. https://t.co/WtCiwiUX32,0,0,
2018-12-15 17:08:39,@mfiso_lee Congrats!!! Like the Std Bank ad says “ siyakubongela mntani”,1,1,mfiso_lee
2018-12-14 11:08:58,@MTshwete Banjalo bonke!! 🙆🏾‍♂️,0,0,MTshwete
2018-11-24 12:52:17,"RT @The_DHS: Good Morning South Africa. Only 7 Days Remaining to the biggest event of the year. 
On the 30th November 2018 we will be celeb…",0,2,
2018-11-07 11:25:58,@MandiNkwe Halala... Huntshu!!! Min’emnadi kuye!! 🙌🏽,1,0,MandiNkwenkwezi
2018-11-06 13:04:43,@smoicles 👏🏾👏🏾👏🏾Heke!!! Uyafaneleka,1,0,smoicles
2018-11-02 08:49:56,@Jabu1ani 🤣👉🏾 u-rongo!!🤣,0,0,ja6u1ani
2018-10-24 14:23:43,"RT @Absa: It’s now or never. #AfricaEmoji can only live on our keyboards if you join the first ever virtual march on @Unicode, the guys who…",0,153,
2018-10-20 19:31:31,"RT @This_Is_Sungz: Reason's cypher #2018BETAwards 
#HipHopAwards",0,2,
