created_at,text,favorites,retweets,in_reply_to
2016-11-17 07:15:30,Love in Abundance...,2,4,
2016-11-03 10:53:42,#orlandopirates  played the first number then #Supersport played the rest... It's like lotto this thing,1,0,
2016-10-29 19:34:44,#SowetoDerby #whatAboringDerby as per...,1,0,
2016-10-29 14:49:51,#SowetoDerby #ubabeswokushaywangebhola,0,0,
2016-10-29 14:47:16,#SowetoDerby ubabes wokushawe,0,0,
2016-10-24 03:44:54,"Home coming didn't go as planned for the #ChosenOne Man United, one day is one day",1,0,
2016-10-23 17:55:00,I'm gutted... But I'm ManU for life,0,0,
2016-10-19 01:35:31,It Rains... it Rains... Thank God it Rains... I thank U Lord for the Drink,3,0,
2016-10-17 05:55:17,"It's a Monday, let the creative juices flow, studio vibes... Whoooo... Legooo",0,0,
2016-10-12 10:41:30,@PearlModiadie maybe U should get some Ink yourself on the show right this today... Why not? @zwai _goat @The_Inksmith @AmonMokoenaSA,1,0,PearlModiadie
2016-10-12 10:35:48,@AmonMokoenaSA enjoy buddy @zwai_goat great show ye @The_Inksmith The best in town,1,0,AmonMokoenaSA
2016-09-27 05:14:24,"Danzel in the new Magnificent7... Got to  check that out, hahaha...",5,0,
2016-04-20 10:07:37,We de B.C.I https://t.co/0gvEP9SxPd,31,0,
2016-04-20 10:04:37,"My mom's crying again via the passing of Mamokete #RythmCity she really loves the show, Mamokete in particular, I hate seeing her cry Eish",1,1,
2016-04-13 11:46:34,#FinancialConsciousness #AfricanChildren should be taught from a tender age to be financially Conscious,0,0,
2016-03-08 06:12:56,"#SAvENG its not looking good at all #noSteynRemover #noPhellender, not having a good time with the ball, gosh",0,0,
2016-01-15 06:00:44,@GlenLewisSA @METROFMSA #expensivemusic #thunsalebotha Glenzito uyashisa baba,0,0,GlenLewisSA
2016-01-12 15:20:42,"Eish! I said ""ngigrend"" ngimbhongwana",0,0,
2016-01-12 15:16:51,Shap... Mbhongwana!,0,0,
2016-01-11 06:08:35,"@MantsoePout its Bhoda-smandana there's no such as smandana Boda, taall yase Mkonti yishove bzwezwe kau, Stilli, Stilli-Sampana @zwai_goat",1,1,MantsoePout
2016-01-08 06:28:23,"Swiss chard &amp; despacios, cheese...and what?",0,0,
2016-01-08 06:16:58,@coldplay U guys are the best!!!,0,0,coldplay
2016-01-06 12:49:39,#heatwave Hydrate! Hydrate! Hydrate! Whatever U do people #Hydrate!!!,0,0,
2016-01-06 10:37:30,@ibokwe_albert Ha! Ha! Hahahaha!!!,0,0,ibokwe_albert
2016-01-06 10:31:44,@ibokwe_albert  don...do...Don be aksin me no...n...no...b...,0,0,ibokwe_albert
2016-01-06 10:27:18,"@ibokwe_albert  I have been the Goat forever charle, what do U mean ye?",0,0,ibokwe_albert
2016-01-05 15:46:24,Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! Themba! BAAAAAAVUUUUMAAAAAA!!!!!!!!!,0,0,
2016-01-05 15:42:52,Brave performance by #Bavuma #BavumaForPresident I vote. Bright future indeed,4,1,
2016-01-02 13:36:57,Go #WesthamUnited #LiverpoolWillFall,0,0,
2016-01-02 13:28:08,"""Happy new year"" to U and yours. May it be filled with love, success and everything good in between",0,0,
2016-01-02 13:13:12,"Natalie Cole really #Unforgettable, she now sings side by side with her father in heaven #ThankU4TheMusic #RIPNatalie",0,0,
2015-12-26 10:45:22,"#DayofGoodwill all in the name of, Giving, Caring and spreading theLOVE BABY!!!",1,0,
2015-12-09 15:58:13,Haha! ha! @The_Inksmith @LindaHlongwan26 @zwai_goat Dazzit! https://t.co/y7MCOOvYgN,0,0,
